main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e-9
  viteration 4 elapsed time: 0.03238415718078613 seconds
viter total elapsed time: 0.16430997848510742 seconds
piteration 6 elapsed time: 0.3482239246368408 seconds
  viteration 1 elapsed time: 0.06724905967712402 seconds
  viteration 2 elapsed time: 0.03215289115905762 seconds
  viteration 3 elapsed time: 0.0691690444946289 seconds
  viteration 4 elapsed time: 0.03163313865661621 seconds
viter total elapsed time: 0.20069217681884766 seconds
piteration 7 elapsed time: 0.34867405891418457 seconds
  viteration 1 elapsed time: 0.06801295280456543 seconds
  viteration 2 elapsed time: 0.03169417381286621 seconds
  viteration 3 elapsed time: 0.0325620174407959 seconds
  viteration 4 elapsed time: 0.06765508651733398 seconds
viter total elapsed time: 0.2004239559173584 seconds
piteration 8 elapsed time: 0.3484940528869629 seconds
  viteration 1 elapsed time: 0.03212594985961914 seconds
  viteration 2 elapsed time: 0.06728696823120117 seconds
  viteration 3 elapsed time: 0.03230619430541992 seconds
probably reached convergance 5538.846568354484
viter total elapsed time: 0.15481209754943848 seconds
piteration 9 elapsed time: 0.36382603645324707 seconds
  viteration 1 elapsed time: 0.06695699691772461 seconds
  viteration 2 elapsed time: 0.031852006912231445 seconds
probably reached convergance 5538.845914445649
viter total elapsed time: 0.12218785285949707 seconds
piteration 10 elapsed time: 0.363476037979126 seconds
  viteration 1 elapsed time: 0.06730413436889648 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.0903160572052002 seconds
reached convergance 5538.843892736077
elapsed time: 5.380079984664917 seconds
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:5
piteration 1 elapsed time: 0.3483848571777344 seconds
  viteration 1 elapsed time: 0.03225994110107422 seconds
  viteration 2 elapsed time: 0.06856012344360352 seconds
  viteration 3 elapsed time: 0.0317380428314209 seconds
  viteration 4 elapsed time: 0.0697791576385498 seconds
  viteration 5 elapsed time: 0.031488895416259766 seconds
viter total elapsed time: 0.23439788818359375 seconds
piteration 2 elapsed time: 0.34862184524536133 seconds
  viteration 1 elapsed time: 0.03233194351196289 seconds
